datetime,open,close,volume
2019-09-16 09:30:00,136.07001,136.355,1791352
2019-09-16 09:45:00,136.41,136.45,735061
2019-09-16 10:00:00,136.47,136.36,739852
2019-09-16 10:15:00,136.37669,136.31,461482
2019-09-16 10:30:00,136.3051,136.35001,435114
2019-09-16 10:45:00,136.35001,136.23,477576
2019-09-16 11:00:00,136.24001,136.55499,480939
2019-09-16 11:15:00,136.55,136.57001,316127
2019-09-16 11:30:00,136.56,136.46001,399150
2019-09-16 11:45:00,136.47,136.21001,368134
2019-09-16 12:00:00,136.19,136.42999,338654
2019-09-16 12:15:00,136.41499,136.485,200781
2019-09-16 12:30:00,136.4881,136.19,364281
2019-09-16 12:45:00,136.22,136.23599,261223
2019-09-16 13:00:00,136.23,136.30499,150159
2019-09-16 13:15:00,136.31,136.35001,149968
2019-09-16 13:30:00,136.35001,136.39,194724
2019-09-16 13:45:00,136.38,136.5676,322852
2019-09-16 14:00:00,136.57001,136.42999,275426
2019-09-16 14:15:00,136.42999,136.62,346801
2019-09-16 14:30:00,136.61501,136.48,396799
2019-09-16 14:45:00,136.49001,136.45,254193
2019-09-16 15:00:00,136.45,136.505,340046
2019-09-16 15:15:00,136.5,136.3,340825
2019-09-16 15:30:00,136.28999,136.30008999999998,544970
2019-09-16 15:45:00,136.3,136.39999,1320837
2019-09-16 17:30:00,136.07001,136.355,1791352
2019-09-16 17:45:00,136.41,136.45,735061
2019-09-16 18:00:00,136.47,136.36,739852
2019-09-16 18:15:00,136.37669,136.31,461482
2019-09-16 18:30:00,136.3051,136.35001,435114
2019-09-16 18:45:00,136.35001,136.23,477576
2019-09-16 19:00:00,136.24001,136.55499,480939
2019-09-16 19:15:00,136.55,136.57001,316127
2019-09-16 19:30:00,136.56,136.46001,399150
2019-09-16 19:45:00,136.47,136.21001,368134
2019-09-16 20:00:00,136.19,136.42999,338654
2019-09-16 20:15:00,136.41499,136.485,200781
2019-09-16 20:30:00,136.4881,136.19,364281
2019-09-16 20:45:00,136.22,136.23599,261223
2019-09-16 21:00:00,136.23,136.30499,150159
2019-09-16 21:15:00,136.31,136.35001,149968
2019-09-16 21:30:00,136.35001,136.39,194724
2019-09-16 21:45:00,136.38,136.5676,322852
2019-09-16 22:00:00,136.57001,136.42999,275426
2019-09-16 22:15:00,136.42999,136.62,346801
2019-09-16 22:30:00,136.61501,136.48,396799
2019-09-16 22:45:00,136.49001,136.45,254193
2019-09-16 23:00:00,136.45,136.505,340046
2019-09-16 23:15:00,136.5,136.3,340825
2019-09-16 23:30:00,136.28999,136.30008999999998,544970
2019-09-16 23:45:00,136.3,136.39999,1320837
2019-09-17 01:30:00,136.07001,136.355,1791352
2019-09-17 01:45:00,136.41,136.45,735061
2019-09-17 02:00:00,136.47,136.36,739852
2019-09-17 02:15:00,136.37669,136.31,461482
2019-09-17 02:30:00,136.3051,136.35001,435114
2019-09-17 02:45:00,136.35001,136.23,477576
2019-09-17 03:00:00,136.24001,136.55499,480939
2019-09-17 03:15:00,136.55,136.57001,316127
