"CloseYest","213.25","","","","","","","","",""
"Shares","7562826000","","","","","","","","",""
"Currency","USD","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","NewsFeed URL Links (DON'T TOUCH ME!)"
"","","","","","","Microsoft Corporation Current News","https://news.google.com/rss/search?q={MSFT Company News}"
"","","","","","","Dow Jones Current News","https://news.google.com/rss/search?q={Dow Jones}"
"Closing Price Historical Data","","","","NASDAQ Current News","https://news.google.com/rss/search?q={NASDAQ}"
"Microsoft Corporation Daily Closing Price","","Dow Jones Daily Closing Price","","NASDAQ Daily Closing Price","","S&P 500 Daily Closing Price"
"Date","Close","","Date","Close","","Date","Close","","Date","Close"
"2/3/2020 16:00:00","174.38","","2/3/2020 16:00:00","28399.81","","2/3/2020 16:00:00","9273.4","","2/3/2020 16:00:00","3248.92"
"2/4/2020 16:00:00","180.12","","2/4/2020 16:00:00","28807.63","","2/4/2020 16:00:00","9467.97","","2/4/2020 16:00:00","3297.59"
"2/5/2020 16:00:00","179.9","","2/5/2020 16:00:00","29290.85","","2/5/2020 16:00:00","9508.68","","2/5/2020 16:00:00","3334.69"
"2/6/2020 16:00:00","183.63","","2/6/2020 16:00:00","29379.77","","2/6/2020 16:00:00","9572.15","","2/6/2020 16:00:00","3345.78"
"2/7/2020 16:00:00","183.89","","2/7/2020 16:00:00","29102.51","","2/7/2020 16:00:00","9520.51","","2/7/2020 16:00:00","3327.71"
"2/10/2020 16:00:00","188.7","","2/10/2020 16:00:00","29276.82","","2/10/2020 16:00:00","9628.39","","2/10/2020 16:00:00","3352.09"
"2/11/2020 16:00:00","184.44","","2/11/2020 16:00:00","29276.34","","2/11/2020 16:00:00","9638.94","","2/11/2020 16:00:00","3357.75"
"2/12/2020 16:00:00","184.71","","2/12/2020 16:00:00","29551.42","","2/12/2020 16:00:00","9725.96","","2/12/2020 16:00:00","3379.45"
"2/13/2020 16:00:00","183.71","","2/13/2020 16:00:00","29423.31","","2/13/2020 16:00:00","9711.97","","2/13/2020 16:00:00","3373.94"
"2/14/2020 16:00:00","185.35","","2/14/2020 16:00:00","29398.08","","2/14/2020 16:00:00","9731.18","","2/14/2020 16:00:00","3380.16"
"2/18/2020 16:00:00","187.23","","2/18/2020 16:00:00","29232.19","","2/18/2020 16:00:00","9732.74","","2/18/2020 16:00:00","3370.29"
"2/19/2020 16:00:00","187.28","","2/19/2020 16:00:00","29348.03","","2/19/2020 16:00:00","9817.18","","2/19/2020 16:00:00","3386.15"
"2/20/2020 16:00:00","184.42","","2/20/2020 16:00:00","29219.98","","2/20/2020 16:00:00","9750.97","","2/20/2020 16:00:00","3373.23"
"2/21/2020 16:00:00","178.59","","2/21/2020 16:00:00","28992.41","","2/21/2020 16:00:00","9576.59","","2/21/2020 16:00:00","3337.75"
"2/24/2020 16:00:00","170.89","","2/24/2020 16:00:00","27960.8","","2/24/2020 16:00:00","9221.28","","2/24/2020 16:00:00","3225.89"
"2/25/2020 16:00:00","168.07","","2/25/2020 16:00:00","27081.36","","2/25/2020 16:00:00","8965.61","","2/25/2020 16:00:00","3128.21"
"2/26/2020 16:00:00","170.17","","2/26/2020 16:00:00","26957.59","","2/26/2020 16:00:00","8980.78","","2/26/2020 16:00:00","3116.39"
"2/27/2020 16:00:00","158.18","","2/27/2020 16:00:00","25766.64","","2/27/2020 16:00:00","8566.48","","2/27/2020 16:00:00","2978.76"
"2/28/2020 16:00:00","162.01","","2/28/2020 16:00:00","25409.36","","2/28/2020 16:00:00","8567.37","","2/28/2020 16:00:00","2954.22"
"3/2/2020 16:00:00","172.79","","3/2/2020 16:00:00","26703.32","","3/2/2020 16:00:00","8952.17","","3/2/2020 16:00:00","3090.23"
"3/3/2020 16:00:00","164.51","","3/3/2020 16:00:00","25917.41","","3/3/2020 16:00:00","8684.09","","3/3/2020 16:00:00","3003.37"
"3/4/2020 16:00:00","170.55","","3/4/2020 16:00:00","27090.86","","3/4/2020 16:00:00","9018.09","","3/4/2020 16:00:00","3130.12"
"3/5/2020 16:00:00","166.27","","3/5/2020 16:00:00","26121.28","","3/5/2020 16:00:00","8738.59","","3/5/2020 16:00:00","3023.94"
"3/6/2020 16:00:00","161.57","","3/6/2020 16:00:00","25864.78","","3/6/2020 16:00:00","8575.62","","3/6/2020 16:00:00","2972.37"
"3/9/2020 16:00:00","150.62","","3/9/2020 16:00:00","23851.02","","3/9/2020 16:00:00","7950.68","","3/9/2020 16:00:00","2746.56"
"3/10/2020 16:00:00","160.92","","3/10/2020 16:00:00","25018.16","","3/10/2020 16:00:00","8344.25","","3/10/2020 16:00:00","2882.23"
"3/11/2020 16:00:00","153.63","","3/11/2020 16:00:00","23553.22","","3/11/2020 16:00:00","7952.05","","3/11/2020 16:00:00","2741.38"
"3/12/2020 16:00:00","139.06","","3/12/2020 16:00:00","21200.62","","3/12/2020 16:00:00","7201.8","","3/12/2020 16:00:00","2480.64"
"3/13/2020 16:00:00","158.83","","3/13/2020 16:00:00","23185.62","","3/13/2020 16:00:00","7874.88","","3/13/2020 16:00:00","2711.02"
"3/16/2020 16:00:00","135.42","","3/16/2020 16:00:00","20188.52","","3/16/2020 16:00:00","6904.59","","3/16/2020 16:00:00","2386.13"
"3/17/2020 16:00:00","146.57","","3/17/2020 16:00:00","21237.38","","3/17/2020 16:00:00","7334.78","","3/17/2020 16:00:00","2529.19"
"3/18/2020 16:00:00","140.4","","3/18/2020 16:00:00","19898.92","","3/18/2020 16:00:00","6989.84","","3/18/2020 16:00:00","2398.1"
"3/19/2020 16:00:00","142.71","","3/19/2020 16:00:00","20087.19","","3/19/2020 16:00:00","7150.58","","3/19/2020 16:00:00","2409.39"
"3/20/2020 16:00:00","137.35","","3/20/2020 16:00:00","19173.98","","3/20/2020 16:00:00","6879.52","","3/20/2020 16:00:00","2304.92"
"3/23/2020 16:00:00","135.98","","3/23/2020 16:00:00","18591.93","","3/23/2020 16:00:00","6860.67","","3/23/2020 16:00:00","2237.4"
"3/24/2020 16:00:00","148.34","","3/24/2020 16:00:00","20704.91","","3/24/2020 16:00:00","7417.86","","3/24/2020 16:00:00","2447.33"
"3/25/2020 16:00:00","146.92","","3/25/2020 16:00:00","21200.55","","3/25/2020 16:00:00","7384.3","","3/25/2020 16:00:00","2475.56"
